,Return_20d(%),Industry,Industry_Mean(%),Pure_Alpha(%)
A,-6.960708776395686,Health Care,-2.594343498529162,-4.3663652778665245
CRL,-7.0436702106837945,Health Care,-2.594343498529162,-4.449326712154633
HSY,-3.151556029120761,Consumer Staples,1.3626325749521067,-4.514188604072868
PEP,-3.162729908265005,Consumer Staples,1.3626325749521067,-4.525362483217112
BR,-5.976921815181157,Industrials,-1.4464699020042764,-4.530451913176881
HRL,-3.1791899813849778,Consumer Staples,1.3626325749521067,-4.541822556337085
BDX,-7.140560856781075,Health Care,-2.594343498529162,-4.546217358251914
PPL,-8.608936619205576,Utilities,-4.010055050096472,-4.598881569109103
EQT,-1.3627588492036713,Energy,3.2996634898349293,-4.662422339038601
VLTO,-6.19114759009729,Industrials,-1.4464699020042764,-4.744677688093014
HPQ,12.032648104016097,Information Technology,16.887206417366862,-4.854558313350765
CRH,-5.621331996981771,Materials,-0.75091411325385,-4.870417883727922
VMC,-5.657543535302157,Materials,-0.75091411325385,-4.906629422048307
COP,-1.6272079564236819,Energy,3.2996634898349293,-4.926871446258611
AVY,-5.6892015648005945,Materials,-0.75091411325385,-4.938287451546745
HBAN,-5.394818863965234,Financials,-0.4419704595967222,-4.952848404368512
CBRE,-2.5974074481396214,Real Estate,2.520137369146247,-5.117544817285868
BKNG,-11.622122548837899,Consumer Discretionary,-6.423873874030917,-5.198248674806981
MRSH,-5.640728756561897,Financials,-0.4419704595967222,-5.198758296965175
MMM,-6.653562079464326,Industrials,-1.4464699020042764,-5.20709217746005
HON,-6.6540918825847895,Industrials,-1.4464699020042764,-5.207621980580513
FCX,-5.97473922073547,Materials,-0.75091411325385,-5.223825107481621
DECK,-11.659400778663908,Consumer Discretionary,-6.423873874030917,-5.235526904632991
REG,-2.8151286569820577,Real Estate,2.520137369146247,-5.335266026128305
IDXX,-7.958219577127357,Health Care,-2.594343498529162,-5.363876078598196
